"X1","X2","X3"
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
386,996,997
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
387,997,998
389,998,999
389,998,999
390,999,1000
390,999,1000
391,1000,1001
393,1002,1003
393,1002,1003
394,1003,1004
324,935,936
350,961,962
307,919,920
301,913,914
282,895,896
377,987,988
377,987,988
377,987,988
377,987,988
377,987,988
377,987,988
379,989,990
380,990,991
384,994,995
384,994,995
384,994,995
385,995,996
380,990,991
380,990,991
380,990,991
380,990,991
380,990,991
381,991,992
372,982,983
374,984,985
309,921,922
282,895,896
282,895,896
284,897,898
284,897,898
335,946,947
